AGE,GENDER,CIVIL STATUS,NO DEPENDANTS,MOP,PORTFOLIO AT RISK,CYCLES,CURT/PDNP,BRANCH,YEARS BUS,HOME,YEARS HOME,CF TO LOAN,COLL TO LOAN,INDUSTRY,BUSINESS
51,FEMALE,MARRIED,5,WALK-IN,"13,074.50",13,PDNP,PASIG,20.0,RENTED,6.0,1.02,,RETAIL,MOTORCYCLE PARTS/SERVICES
45,FEMALE,MARRIED,4,PDC,1.00,4,PDNP,SMB,3.0,OWNED,8.0,1.06,,SERVICES,COMPUTER SHOP
32,FEMALE,MARRIED,4,PDC,1.00,4,PDNP,SMB,3.0,RENTED,4.0,1.86,,SERVICES,CAR WASH/COMPUTER SHOP
42,FEMALE,MARRIED,4,WALK-IN,1.00,2,PDNP,SMB,7.0,OWNED,15.0,1.75,1.115,MANUFACTURING/RETAIL,BAKERY/SARI SARI STORE
30,MALE,SINGLE,2,PDC,1.00,1,PDNP,SMB,2.0,SHARED/BORROWED,26.0,1.12,,RETAIL,GENERAL MERCHANDISE
50,MALE,SINGLE,0,WALK-IN,1.00,1,PDNP,ANB,1.0,OWNED,25.0,1.54,,SERVICES,CARINDERIA
40,FEMALE,MARRIED,3,PDC,1.00,1,PDNP,ANB,3.0,OWNED,4.0,1.06,1.425,SERVICES,LAUNDRY SHOP/WATER STATION
50,FEMALE,MARRIED,5,WALK-IN,1.00,2,PDNP,ANB,12.0,MORTGAGED,14.0,2.0,1.069,RETAIL,MEAT SHOP
60,MALE,MARRIED,2,WALK-IN,1.00,3,PDNP,ANB,7.0,OWNED,21.0,1.05,1.175,RETAIL,SARI SARI STORE
37,FEMALE,MARRIED,2,WALK-IN,1.00,1,PDNP,ANB,1.0,OWNED,33.0,2.71,3.72,SERVICES,CARINDERIA
39,FEMALE,SINGLE,3,WALK-IN,1.00,3,PDNP,ANB,3.0,OWNED,12.0,2.75,1.858,MANUFACTURING,GARMENTS
52,FEMALE,MARRIED,4,PDC,"69,305.51",13,PDNP,PASIG,17.0,RENTED,20.0,2.72,1.661,RETAIL,MEAT SHOP
55,FEMALE,MARRIED,3,PDC,"186,036.46",8,PDNP,PASIG,17.0,RENTED,20.0,1.92,1.15,RETAIL,MINI GROCERY
35,MALE,MARRIED,5,WALK-IN,"17,461.05",1,PDNP,PASIG,9.0,RENTED,9.0,1.8,1.033,SERVICES,JUNK SHOP
59,FEMALE,MARRIED,3,PDC,1.00,4,PDNP,PASIG,20.0,SHARED/BORROWED,30.0,1.49,0.8490000000000001,RETAIL,RTW
40,FEMALE,MARRIED,2,WALK-IN,"75,907.00",5,PDNP,PASIG,2.0,RENTED,7.0,2.99,1.508,SERVICES,PRINTING  SHOP & SUPPLIES DISTRIBUTION
58,FEMALE,MARRIED,3,PDC,1.00,5,PDNP,PASIG,3.0,RENTED,4.0,1.07,0.42,SERVICES,CARINDERIA
39,MALE,MARRIED,5,PDC,"24,983.21",1,PDNP,PASIG,6.0,OWNED,6.0,1.71,1.72,SERVICES,JUNK SHOP
37,FEMALE,SINGLE,3,PDC,"23,564.29",1,PDNP,PASIG,15.0,OWNED,14.0,1.16,0.9,SERVICES,JUNK SHOP
35,FEMALE,SINGLE,4,WALK-IN,"4,915.49",1,PDNP,PASIG,8.0,MORTGAGED,12.0,1.18,0.75,RETAIL,CHICKEN RETAILER
46,FEMALE,SEPARATED,2,PDC,1.00,2,PDNP,PASIG,15.0,OWNED,17.0,1.36,0.345,RETAIL,MINI GROCERY
46,MALE,MARRIED,3,PDC,1.00,4,PDNP,PASIG,10.0,OWNED,10.0,1.83,0.711,RETAIL/SERVICES,MINI GROCERY/SALON
46,MALE,MARRIED,4,PDC,"54,427.49",1,PDNP,PASIG,15.0,OWNED,5.0,1.84,1.183,RETAIL,GENERAL MERCHANDISE
40,FEMALE,MARRIED,4,PDC,"4,043.32",3,PDNP,PASIG,2.0,OWNED,20.0,2.06,1.1079999999999999,RETAIL,SARI SARI STORE
51,MALE,SINGLE,2,PDC,1.00,4,PDNP,PASIG,4.0,RENTED,4.0,1.12,1.04,RETAIL,PHARMACY
46,FEMALE,MARRIED,4,PDC,1.00,1,PDNP,PASIG,10.0,OWNED,42.0,1.22,1.75,SERVICES,CARINDERIA
44,FEMALE,SEPARATED,1,PDC,1.00,4,PDNP,PASIG,8.0,OWNED,8.0,4.46,2.88,RETAIL,PHARMACY
39,MALE,MARRIED,5,WALK-IN,1.00,8,PDNP,PASIG,7.0,OWNED,7.0,1.13,0.33,RETAIL,FISH RETAIL
