AGE,GENDER,CIVIL STATUS,NO DEPENDANTS,MOP,PORTFOLIO AT RISK,CYCLES,CURT/PDNP,BRANCH,YEARS BUS,HOME,YEARS HOME,CF TO LOAN,COLL TO LOAN
32,FEMALE,MARRIED,2,WALK-IN," 29,125.85 ",3,PDNP,Quezon City I,11.0,RENTED,3.0," 112,279.64 ",                               -  
40,MALE,MARRIED,5,WALK-IN," 60,161.72 ",1,PDNP,Quezon City I,15.0,RENTED,15.0," 154,257.41 "," 93,300.00 "
57,MALE,MARRIED,0,WALK-IN,0,2,CURT,Quezon City I,17.0,OWNED,22.0," 83,287.88 "," 99,000.00 "
34,FEMALE,SINGLE,2,PDC,0,10,CURT,Quezon City I,10.0,OWNED,33.0," 458,536.41 "," 300,000.00 "
55,MALE,SINGLE,2,PDC,0,5,CURT,Quezon City I,8.0,OWNED,8.0," 480,472.30 "," 350,000.00 "
41,FEMALE,MARRIED,5,WALK-IN,0,4,CURT,Quezon City I,16.0,OWNED,40.0," 270,176.92 "," 212,000.00 "
54,FEMALE,WIDOW,4,PDC,0,13,CURT,Quezon City I,33.0,OWNED,33.0," 1,119,643.51 "," 140,000.00 "
33,FEMALE,MARRIED,4,PDC,0,5,CURT,Quezon City I,11.0,OWNED,6.0," 427,197.77 "," 250,000.00 "
38,FEMALE,MARRIED,2,PDC,0,4,CURT,Quezon City I,3.0,OWNED,10.0," 100,982.72 "," 50,000.00 "
47,MALE,MARRIED,3,PDC,0,3,CURT,Quezon City I,5.0,RENTED,6.0," 274,078.69 "," 187,700.00 "
40,FEMALE,MARRIED,2,PDC," 59,349.60 ",1,PDNP,Bulacan,6.0,OWNED,22.0," 228,895.84 "," 50,000.00 "
32,FEMALE,SINGLE,2,PDC," 39,029.05 ",2,PDNP,Quezon City I,3.0,OWNED,31.0," 178,450.70 "," 88,000.00 "
52,FEMALE,SEPARATED,4,WALK-IN,0,3,CURT,Quezon City I,25.0,OWNED,2.0," 255,051.74 "," 300,000.00 "
47,FEMALE,MARRIED,2,PDC,0,7,CURT,Quezon City I,10.0,OWNED,14.0," 929,945.73 "," 300,000.00 "
34,MALE,MARRIED,2,WALK-IN,0,1,CURT,Quezon City I,11.0,OWNED,11.0," 194,279.17 "," 260,000.00 "
38,FEMALE,MARRIED,4,PDC,0,3,CURT,Quezon City I,10.0,OWNED,5.0," 274,948.95 "," 220,000.00 "
59,FEMALE,MARRIED,1,PDC,0,4,CURT,Bulacan,15.0,OWNED,17.0," 545,736.79 "," 20,000.00 "
43,FEMALE,SEPARATED,2,PDC,0,1,CURT,Quezon City I,6.0,BORROWED/SHARED,23.0," 457,341.68 ",                               -  
37,MALE,SINGLE,2,PDC,0,7,CURT,Quezon City I,8.0,RENTED,8.0," 379,329.02 "," 355,000.00 "
34,MALE,MARRIED,2,PDC,0,2,CURT,Quezon City I,9.0,OWNED,9.0," 1,275,967.66 "," 150,000.00 "
43,FEMALE,SEPARATED,1,PDC,0,8,CURT,Quezon City I,26.0,MORTGAGED,33.0," 125,716.80 "," 100,000.00 "
47,MALE,MARRIED,1,PDC,0,2,CURT,Quezon City I,4.0,RENTED,3.0," 100,726.98 ",                               -  
44,FEMALE,MARRIED,4,PDC,0,6,CURT,Quezon City I,12.0,OWNED,22.0," 95,927.46 "," 50,000.00 "
27,FEMALE,SINGLE,0,PDC,0,2,CURT,Quezon City I,9.0,OWNED,25.0," 185,748.27 "," 156,000.00 "
53,FEMALE,SINGLE,2,PDC,0,4,CURT,Quezon City I,7.0,RENTED,5.0," 392,289.96 "," 80,000.00 "
42,FEMALE,SINGLE,1,PDC,0,19,CURT,Quezon City I,18.0,OWNED,18.0," 571,285.39 "," 230,000.00 "
51,FEMALE,WIDOW,1,PDC,0,5,CURT,Quezon City I,10.0,OWNED,10.0," 642,652.62 "," 320,000.00 "
48,FEMALE,WIDOW,4,WALK-IN," 67,340.36 ",7,PDNP,Quezon City I,23.0,BORROWED/SHARED,5.0," 359,586.74 "," 112,000.00 "
39,FEMALE,SEPARATED,3,WALK-IN,0,7,CURT,Quezon City I,8.0,OWNED,22.0," 154,167.43 ",                               -  
39,FEMALE,MARRIED,3,PDC,0,4,CURT,Quezon City I,5.0,RENTED,7.0," 358,710.51 "," 278,000.00 "
45,FEMALE,MARRIED,6,PDC,0,11,CURT,Quezon City I,16.0,RENTED,16.0," 340,998.61 "," 250,000.00 "
33,FEMALE,MARRIED,2,PDC,0,3,CURT,Quezon City I,6.0,OWNED,6.0," 366,338.20 "," 500,000.00 "
36,FEMALE,MARRIED,2,PDC," 31,771.08 ",4,PDNP,Bulacan,10.0,OWNED,22.0," 481,513.82 ",                               -  
50,FEMALE,MARRIED,1,PDC,0,1,CURT,Quezon City I,12.0,OWNED,15.0," 358,342.00 "," 150,000.00 "
44,FEMALE,MARRIED,2,PDC,0,5,CURT,Quezon City I,9.0,OWNED,23.0," 285,220.50 "," 278,000.00 "
