0,1,Target,AGE,GENDER,LOAN,LOAN OUTSTANDING,PORTFOLIO AT RISK,CURT/PDNP,CYCLE,BRANCH,INDUSTRY,BUSINESS,BUS. LOC. OWNERSHIP,YEARS,HOME YEARS,NUMBER OF DEPENDENTS,Cf to Loan,Coll 2 Loan,CF calc,Coll calc,CIVIL STATUS_MARRIED,CIVIL STATUS_NON-MARRIED,MOP_PDC,MOP_WALK-IN,HOME_NOT_OWNED,HOME_OWNED,2nd Review
0.3960436,0.6039564,1.0,23.0,1,80000.0,61087.0,0,0,3.0,SMB,RETAIL,OTHERS,RENTED,1,4.0,4.0,1.82,1.718,145694.0,137450.0,1,0,1,0,1,0,0.0
0.053933084,0.9460669,1.0,34.0,1,50000.0,33941.0,0,0,2.0,SMB,RETAIL,GENERAL MERCHANDISE,OWNED,1,17.0,0.0,1.41,2.141,70373.0,107025.0,0,1,0,1,0,1,0.0
0.21566504,0.78433496,1.0,49.0,1,100203.0,65186.0,0,0,2.0,SMB,WHOLESALE/RETAIL,OTHERS,OWNED,1,9.0,1.0,1.66,2.082,166148.0,208600.0,0,1,0,1,0,1,0.0
0.1686024,0.8313976,1.0,35.0,0,50000.0,17281.0,0,0,1.0,SMB,OTHERS,OTHERS,RENTED,0,6.0,2.0,2.02,2.565,101057.0,128240.0,1,0,0,1,0,1,0.0
0.07357067,0.92642933,1.0,37.0,1,50000.0,50000.0,0,0,1.0,SMB,RETAIL,RTW,RENTED,1,4.0,3.0,1.38,1.163,68881.0,58140.0,1,0,0,1,1,0,0.0
0.3586238,0.6413762,1.0,50.0,1,80000.0,26272.0,0,0,3.0,SMB,OTHERS,OTHERS,RENTED,1,10.0,2.0,1.42,0.752,113305.0,60123.0,0,1,0,1,1,0,0.0
0.03392923,0.9660708,1.0,51.0,1,150000.0,150000.0,0,0,2.0,SMB,OTHERS,OTHERS,OWNED,1,18.0,4.0,0.96,1.344,143885.0,201600.0,0,1,0,1,0,1,0.0
0.14810276,0.85189724,1.0,31.0,1,80000.0,61087.0,0,0,3.0,SMB,RETAIL,OTHERS,RENTED,1,4.0,5.0,1.8,2.153,144326.0,172250.0,1,0,1,0,0,1,0.0
0.32024485,0.67975515,1.0,34.0,0,180000.0,108367.0,0,0,1.0,SMB,RETAIL,OTHERS,OWNED,1,10.0,1.0,1.27,0.917,228054.0,165120.0,1,0,0,1,0,1,0.0
0.100195706,0.8998043,1.0,40.0,1,150000.0,101823.0,0,0,1.0,SMB,RETAIL,RTW,RENTED,1,14.0,2.0,2.1,2.4,314843.0,360000.0,0,1,0,1,0,1,0.0
0.030706406,0.9692936,1.0,43.0,0,250000.0,190897.0,0,0,2.0,SMB,RETAIL,OTHERS,RENTED,1,16.0,2.0,2.14,2.748,533893.0,687000.0,1,0,0,1,0,1,0.0
0.15158856,0.84841144,1.0,48.0,1,80000.0,65152.0,0,0,2.0,SMB,RETAIL,OTHERS,OWNED,1,31.0,0.0,1.16,0.921,92737.0,73712.0,0,1,1,0,0,1,0.0
0.10426909,0.8957309,1.0,55.0,1,75000.0,61080.0,0,0,2.0,SMB,RETAIL,OTHERS,OWNED,1,31.0,1.0,1.26,1.072,94866.0,80366.0,0,1,0,1,0,1,0.0
0.1636616,0.8363384,1.0,56.0,1,30000.0,30000.0,0,0,1.0,SMB,SERVICES,OTHERS,OWNED,1,3.0,0.0,1.78,0.845,53493.0,25348.0,0,1,0,1,1,0,0.0
0.14391321,0.8560868,1.0,52.0,1,50000.0,46040.0,0,0,1.0,SMB,MANUFACTURING,OTHERS,OWNED,1,28.0,3.0,1.31,1.569,65605.0,78467.0,1,0,0,1,0,1,0.0
0.089028,0.910972,1.0,43.0,1,50000.0,50000.0,0,0,2.0,SMB,OTHERS,OTHERS,OWNED,1,1.0,2.0,2.02,1.455,101113.0,72733.0,1,0,0,1,1,0,0.0
0.22693092,0.7730691,1.0,58.0,1,50000.0,25687.0,0,0,2.0,SMB,SERVICES,OTHERS,OWNED,1,20.0,1.0,1.95,1.964,97355.0,98208.0,1,0,0,1,0,1,0.0
0.014713645,0.98528636,1.0,31.0,0,70000.0,53451.0,0,0,2.0,SMB,SERVICES,OTHERS,OWNED,0,26.0,3.0,0.91,2.678,63704.0,187443.0,1,0,1,0,0,1,0.0
0.20953172,0.7904683,1.0,58.0,1,50000.0,46040.0,0,0,1.0,SMB,RETAIL,OTHERS,OWNED,1,38.0,1.0,1.11,0.844,55607.0,42200.0,1,0,1,0,0,1,0.0
0.44011468,0.5598853,1.0,38.0,1,150000.0,26160.0,0,0,2.0,SMB,OTHERS,OTHERS,RENTED,1,12.0,2.0,1.07,1.256,160172.0,188333.0,1,0,0,1,0,1,0.0
0.09259945,0.90740055,1.0,56.0,1,60000.0,30825.0,0,0,2.0,SMB,SERVICES,OTHERS,OWNED,1,20.0,2.0,2.1,2.5,126111.0,150000.0,0,1,0,1,0,1,0.0
0.8382625,0.1617375,1.0,52.0,1,50000.0,8097.0,0,0,2.0,SMB,SERVICES,OTHERS,RENTED,1,30.0,0.0,1.29,1.216,64742.0,60800.0,1,0,1,0,0,1,0.0
0.12041068,0.8795893,1.0,53.0,0,100000.0,32840.0,0,0,3.0,SMB,RETAIL,OTHERS,OWNED,1,24.0,4.0,0.96,0.774,96483.0,77421.0,1,0,1,0,0,1,0.0
0.12929988,0.8707001,1.0,61.0,0,60000.0,27336.0,0,0,3.0,SMB,SERVICES,OTHERS,OWNED,1,18.0,0.0,1.39,0.855,83556.0,51300.0,1,0,1,0,0,1,0.0
0.056640983,0.943359,1.0,37.0,0,100000.0,100000.0,0,0,2.0,SMB,RETAIL,OTHERS,RENTED,1,17.0,4.0,2.3,28.95,230447.0,2895000.0,0,1,0,1,0,1,0.0
0.015945852,0.98405415,1.0,59.0,1,60000.0,60000.0,0,0,2.0,SMB,RETAIL,OTHERS,OWNED,1,17.0,1.0,0.9,0.944,53931.0,56667.0,0,1,0,1,0,1,0.0
